region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;28;42,85714286;28;36;29;55,03448276
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;44;51,04545455;44;31,18181818;44;51,47727273
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;6;58,66666667;6;42,66666667;6;63,83333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;4;;4;;4;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;10;48,9;10;28;10;43
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;17;57,35294118;17;33,17647059;17;56,11764706
Kujawsko-Pomorskie;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;3;;3;;3;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;12;65,16666667;12;42,33333333;12;67,75
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;34;64,38235294;34;60,82352941;32;69,8125
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;24;58,95833333;24;46;24;74
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;16;55,6875;16;43;16;68,1875
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;17;56,94117647;17;34,58823529;14;58,64285714
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;4;;4;;4;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;9;47,55555556;9;51,55555556;9;48,44444444
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;16;54,5;16;47;16;59,3125
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;13;67;13;50,46153846;11;64,81818182
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;3;;3;;3;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;10;62,2;10;47,6;10;67,6
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;9;59;9;44,44444444;9;64,88888889
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;3;;3;;3;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;11;57,90909091;11;37,45454545;11;70,54545455
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;19;57,68421053;19;49,89473684;19;54,47368421
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;15;55,66666667;15;42,4;15;51,93333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;11;57,45454545;11;40;11;44,09090909
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;9;57,66666667;9;48,88888889;9;55,55555556
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;10;62,3;10;53,6;10;69,4
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;11;55,27272727;11;38,18181818;11;57,90909091
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;19;50,10526316;19;41,05263158;19;39,10526316
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;25;54,56;25;47,04;23;65,13043478
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;31;56,4516129;31;46,4516129;32;65,34375
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;22;45,31818182;22;31,63636364;22;42,63636364
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 700 - LECIA BRODNICY W BRODNICY;Brodnica;33;61,93939394;33;51,27272727;35;69,2
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. WŁADYSŁAWA JAGIEŁŁY W BRODNICY;Brodnica;24;54,625;24;41,66666667;24;60,29166667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA DLA DOROSŁYCH W BRODNICY;Brodnica;11;11,81818182;11;14,90909091;;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KRÓLEWNY ANNY WAZÓWNY W GORCZENICY;Gorczenica;15;54,86666667;15;50,13333333;15;57,73333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;15;59,33333333;15;51,46666667;15;71,33333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;11;69,27272727;11;66,90909091;11;70,81818182
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Wielkie Leźno;9;70,22222222;9;72,88888889;9;66,77777778
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Jajkowo;6;51,16666667;6;48,66666667;6;61,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Brzozie;17;50,94117647;17;43,05882353;17;48,23529412
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Górzno;8;41,25;8;41;8;42,875
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;7;60,85714286;7;37,71428571;6;34,83333333
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;2;;2;;1;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;17;59,76470588;17;46,58823529;17;46,64705882
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Płowęż;6;51;6;29,33333333;6;40
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;31;53,09677419;31;26,96774194;31;43,87096774
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;8;70,625;8;68;8;68,625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;14;54,71428571;14;39,71428571;14;51,71428571
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;9;61;9;64;9;73,77777778
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. NOBLISTÓW POLSKICH W ZBICZNIE;Zbiczno;10;42,1;10;40,4;10;43,3
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;18;52,66666667;18;25,11111111;18;40,5
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;4;;4;;4;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;53;67,83018868;53;61,81132075;53;72,66037736
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARIANA REJEWSKIEGO W BIAŁYCH BŁOTACH;Białe Błota;78;63,33333333;78;51,07692308;78;75,56410256
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W PRZYŁĘKACH;Przyłęki;13;69,30769231;13;63,07692308;13;83,23076923
